RowId,Country,Region,CustID,CustName,ProductSold,SalesChannel,UnitsSold,DateSold,ProductID,ProductName,StdCost,StdPrice
33,Sierra Leone,Sub-Saharan Africa,24228,Hayley Williamson,PURA250,Direct,1,31/12/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
34,Yemen,Middle East and North Afr,24069,Daphne Graves,PURA100,Retail,132,12/01/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
35,Pakistan,Middle East and North Afr,24104,Ignatius Petty,SUPA103,Online,169,22/01/2017,SUPA103,Super Soft - 500ml,3.5,6.99
36,Bhutan,Asia,24072,Adara Shields,SUPA104,Online,159,29/01/2017,SUPA104,Super Soft - 1 Litre,5,9.99
37,United Kingdom,Europe,24197,Alma Benson,PURA200,Retail,136,04/02/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
38,Japan,Asia,24240,Roary Gray,PURA250,Retail,44,05/02/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
39,Unknown,Unknown,24201,Elizabeth Schwartz,SUPA102,Retail,175,16/02/2017,SUPA102,Super Soft - 250ml,2.5,4.5
40,Andorra,Europe,24126,Samuel Tyler,PURA200,Retail,125,20/02/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
41,Nauru,Australia and Oceania,24209,Felicia Turner,SUPA103,Direct,142,20/02/2017,SUPA103,Super Soft - 500ml,3.5,6.99
42,Egypt,Middle East and North Afr,24142,Dacey Stark,PURA100,Retail,201,21/02/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
43,Palau,Australia and Oceania,24189,David Moses,SUPA101,Retail,3,25/02/2017,SUPA101,Super Soft - Product Sample,0.3,0
44,Indonesia,Asia,24101,Fleur Mcdaniel,SUPA104,Retail,143,27/02/2017,SUPA104,Super Soft - 1 Litre,5,9.99
45,Iraq,Middle East and North Afr,24152,Amela Carpenter,SUPA101,Online,130,27/02/2017,SUPA101,Super Soft - Product Sample,0.3,0
46,Iceland,Europe,24214,Leigh Little,SUPA104,Online,120,27/02/2017,SUPA104,Super Soft - 1 Litre,5,9.99
47,Sudan,Sub-Saharan Africa,24235,Florence Pennington,SUPA103,Retail,138,17/03/2017,SUPA103,Super Soft - 500ml,3.5,6.99
48,Austria,Europe,24182,Isabella Avery,SUPA103,Online,31,19/03/2017,SUPA103,Super Soft - 500ml,3.5,6.99
49,Azerbaijan,Middle East and North Afr,24221,Daphne Curry,SUPA103,Online,190,26/03/2017,SUPA103,Super Soft - 500ml,3.5,6.99
50,Unknown,Unknown,24174,Garrison Peters,PURA200,Direct,163,28/03/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
51,Burkina Faso,Sub-Saharan Africa,24120,Quinlan Hebert,PURA250,Online,99,30/03/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
52,Equatorial Guinea,Sub-Saharan Africa,24184,Lucius Wilkins,SUPA105,Online,135,02/04/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
53,Nauru,Australia and Oceania,24244,Bell Shaffer,PURA200,Direct,16,03/04/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
54,Burkina Faso,Sub-Saharan Africa,24130,Caldwell Caldwell,SUPA104,Online,84,04/04/2017,SUPA104,Super Soft - 1 Litre,5,9.99
55,Unknown,Unknown,23901,Jasper Shannon,PURA100,Online,169,06/04/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
56,Guinea,Sub-Saharan Africa,24019,Alfonso Shepherd,SUPA105,Retail,52,06/04/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
57,Somalia,Middle East and North Afr,24179,Hyatt Durham,PURA500,Online,190,08/04/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
58,Unknown,Unknown,24087,Tana Sharpe,PURA200,Retail,43,13/04/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
59,Italy,Europe,23885,Leigh Schultz,SUPA101,Online,146,14/04/2017,SUPA101,Super Soft - Product Sample,0.3,0
60,Rwanda,Sub-Saharan Africa,24226,Cherokee Shaffer,PURA100,Retail,64,15/04/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
61,Latvia,Europe,24251,Deacon Williamson,PURA500,Retail,15,23/04/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
62,Nauru,Australia and Oceania,24073,Brock Sullivan,SUPA101,Retail,15,25/04/2017,SUPA101,Super Soft - Product Sample,0.3,0
63,Unknown,Unknown,24233,Haviva Stevenson,SUPA102,Online,162,25/04/2017,SUPA102,Super Soft - 250ml,2.5,4.5
64,Norway,Europe,24065,Yeo Welch,PURA200,Direct,57,27/04/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
65,Swaziland,Sub-Saharan Africa,24098,Cally Pratt,SUPA104,Retail,77,27/04/2017,SUPA104,Super Soft - 1 Litre,5,9.99
66,Latvia,Europe,24246,Vivian Colon,SUPA104,Online,92,28/04/2017,SUPA104,Super Soft - 1 Litre,5,9.99
67,Unknown,Unknown,24183,Kitra Reilly,PURA100,Retail,51,29/04/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
68,Uzbekistan,Asia,23915,Janna Sears,SUPA101,Retail,134,05/05/2017,SUPA101,Super Soft - Product Sample,0.3,0
69,Switzerland,Europe,24139,Connor Soto,PURA200,Retail,10,06/05/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
70,Jordan,Middle East and North Afr,24164,Tamekah Roach,PURA200,Direct,119,10/05/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
71,Turkey,Middle East and North Afr,23997,Regan Whitehead,PURA200,Retail,161,11/05/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
72,Unknown,Unknown,23929,Illana Mccall,SUPA104,Retail,47,15/05/2017,SUPA104,Super Soft - 1 Litre,5,9.99
73,Unknown,Unknown,24044,Beatrice Golden,PURA200,Retail,82,15/05/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
74,Unknown,Unknown,24135,Abigail Cunningham,SUPA103,Online,108,15/05/2017,SUPA103,Super Soft - 500ml,3.5,6.99
75,Rwanda,Sub-Saharan Africa,24222,Slade Russo,SUPA103,Online,3,15/05/2017,SUPA103,Super Soft - 500ml,3.5,6.99
76,Zimbabwe,Sub-Saharan Africa,23977,Nichole Weiss,PURA100,Retail,161,18/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
77,Czech Republic,Europe,23879,Savannah Everett,PURA100,Online,9,19/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
78,Costa Rica,Central America and the C,24081,Jameson Anderson,PURA100,Online,192,22/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
79,Moldova ,Europe,24163,Athena Faulkner,SUPA101,Online,84,22/05/2017,SUPA101,Super Soft - Product Sample,0.3,0
80,Unknown,Unknown,24203,Gisela Gay,SUPA104,Direct,39,22/05/2017,SUPA104,Super Soft - 1 Litre,5,9.99
81,Belize,Central America and the C,23875,Leah Kline,PURA100,Online,92,24/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
82,Barbados,Central America and the C,24127,Kyra Pollard,SUPA102,Retail,25,24/05/2017,SUPA102,Super Soft - 250ml,2.5,4.5
83,Honduras,Central America and the C,24231,Rose Baker,PURA250,Retail,33,24/05/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
84,Unknown,Unknown,24162,Irene Beach,PURA200,Online,61,26/05/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
85,Egypt,Middle East and North Afr,24225,Clementine Hewitt,PURA100,Online,141,26/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
86,Unknown,Unknown,24259,Lester Fisher,PURA500,Online,138,26/05/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
87,Unknown,Unknown,23913,Eve Gill,SUPA102,Online,6,28/05/2017,SUPA102,Super Soft - 250ml,2.5,4.5
88,Andorra,Europe,24116,Jackson Gallegos,PURA100,Online,153,31/05/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
89,Sao Tome and Principe,Sub-Saharan Africa,23966,Sonya Shaw,SUPA103,Online,167,01/06/2017,SUPA103,Super Soft - 500ml,3.5,6.99
90,Unknown,Unknown,24047,Allen Caldwell,SUPA104,Online,58,01/06/2017,SUPA104,Super Soft - 1 Litre,5,9.99
91,Unknown,Unknown,24239,Victor Suarez,PURA200,Retail,201,01/06/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
92,Ukraine,Europe,24195,Robin Stuart,SUPA101,Direct,132,03/06/2017,SUPA101,Super Soft - Product Sample,0.3,0
93,Guinea,Sub-Saharan Africa,24079,Maxwell Workman,PURA500,Retail,129,04/06/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
94,Andorra,Europe,23896,Lyle Lawson,SUPA102,Retail,3,05/06/2017,SUPA102,Super Soft - 250ml,2.5,4.5
95,Unknown,Unknown,24102,Adrienne Mack,SUPA102,Online,183,06/06/2017,SUPA102,Super Soft - 250ml,2.5,4.5
96,Nauru,Australia and Oceania,24187,Cara Salazar,PURA250,Online,81,08/06/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
97,Unknown,Unknown,24178,Regan Kirk,PURA100,Online,80,10/06/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
98,Togo,Sub-Saharan Africa,24091,Perry Livingston,PURA500,Retail,187,11/06/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
99,Togo,Sub-Saharan Africa,24003,Sybill Mendoza,SUPA104,Retail,62,12/06/2017,SUPA104,Super Soft - 1 Litre,5,9.99
100,Unknown,Unknown,23905,Rogan Best,PURA500,Retail,56,18/06/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
101,Unknown,Unknown,23970,Alma Higgins,PURA100,Online,148,19/06/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
102,Croatia,Europe,24147,Jackson Rivas,SUPA101,Retail,12,24/06/2017,SUPA101,Super Soft - Product Sample,0.3,0
103,Unknown,Unknown,24050,Melyssa Sawyer,SUPA102,Online,147,28/06/2017,SUPA102,Super Soft - 250ml,2.5,4.5
104,Bosnia and Herzegovina,Europe,24029,Theodore Wells,PURA100,Retail,98,29/06/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
105,Unknown,Unknown,23964,Ruth Mathews,PURA100,Retail,141,30/06/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
110,Unknown,Unknown,24035,Jamalia Sims,SUPA104,Retail,91,03/07/2017,SUPA104,Super Soft - 1 Litre,5,9.99
111,Unknown,Unknown,23953,Ferdinand Holder,PURA100,Retail,164,05/07/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
112,Luxembourg,Europe,24051,Charissa Olsen,SUPA101,Retail,74,07/07/2017,SUPA101,Super Soft - Product Sample,0.3,0
113,Unknown,Unknown,23950,Wendy Norris,PURA200,Online,93,10/07/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
114,Ukraine,Europe,23843,Burke Rojas,SUPA103,Online,211,11/07/2017,SUPA103,Super Soft - 500ml,3.5,6.99
115,Finland,Europe,24057,Maris Cantrell,SUPA101,Online,5,11/07/2017,SUPA101,Super Soft - Product Sample,0.3,0
116,Unknown,Unknown,24134,Howard Colon,SUPA103,Online,47,12/07/2017,SUPA103,Super Soft - 500ml,3.5,6.99
117,Unknown,Unknown,23867,Elaine Le,SUPA102,Retail,132,13/07/2017,SUPA102,Super Soft - 250ml,2.5,4.5
118,Samoa ,Australia and Oceania,23873,Leroy Russo,PURA200,Online,41,15/07/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
119,Bulgaria,Europe,24115,Anne Rivers,SUPA104,Online,169,18/07/2017,SUPA104,Super Soft - 1 Litre,5,9.99
120,Unknown,Unknown,23988,Logan Gates,SUPA104,Retail,81,20/07/2017,SUPA104,Super Soft - 1 Litre,5,9.99
121,Unknown,Unknown,23870,Forrest Hayes,PURA200,Online,210,23/07/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
122,Malaysia,Asia,23928,Maisie Witt,SUPA103,Retail,74,24/07/2017,SUPA103,Super Soft - 500ml,3.5,6.99
123,Unknown,Unknown,23789,Gray Moss,SUPA101,Online,47,27/07/2017,SUPA101,Super Soft - Product Sample,0.3,0
124,Cyprus,Europe,23692,Yuri Huber,PURA100,Retail,207,30/07/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
125,Unknown,Unknown,24001,Emerald Rojas,PURA200,Direct,83,30/07/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
126,Unknown,Unknown,24046,Lois Mcdowell,PURA500,Retail,68,30/07/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
127,Singapore,Asia,23690,Rooney Wolfe,SUPA105,Retail,91,31/07/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
128,Swaziland,Sub-Saharan Africa,23926,Fletcher Savage,SUPA105,Online,152,02/08/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
129,Antigua and Barbuda ,Central America and the C,24137,Lana Good,SUPA102,Direct,68,02/08/2017,SUPA102,Super Soft - 250ml,2.5,4.5
130,Unknown,Unknown,24042,Macey Shaw,PURA250,Online,170,03/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
131,Swaziland,Sub-Saharan Africa,23678,Georgia Good,PURA250,Online,7,06/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
132,Haiti,Central America and the C,24043,Amethyst Dotson,SUPA101,Retail,42,06/08/2017,SUPA101,Super Soft - Product Sample,0.3,0
133,Morocco,Middle East and North Afr,23954,Sarah Leblanc,PURA100,Retail,106,07/08/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
134,Qatar,Middle East and North Afr,23759,Raya Guthrie,PURA250,Direct,82,12/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
135,Italy,Europe,23903,Dillon Carlson,SUPA102,Retail,2,12/08/2017,SUPA102,Super Soft - 250ml,2.5,4.5
136,Guatemala,Central America and the C,24143,Ursula Salinas,SUPA103,Online,13,17/08/2017,SUPA103,Super Soft - 500ml,3.5,6.99
137,Zambia,Sub-Saharan Africa,23677,Destiny Fisher,PURA250,Retail,149,18/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
138,Belgium,Europe,23795,Ori Sparks,PURA200,Online,115,19/08/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
139,Iraq,Middle East and North Afr,23882,Drake Gibson,SUPA101,Online,180,20/08/2017,SUPA101,Super Soft - Product Sample,0.3,0
140,Czech Republic,Europe,24124,August Levy,PURA100,Online,159,21/08/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
141,Georgia,Europe,23786,Yen Graves,PURA500,Online,194,23/08/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
142,Macedonia,Europe,24191,Addison Doyle,SUPA103,Online,127,23/08/2017,SUPA103,Super Soft - 500ml,3.5,6.99
143,Mongolia,Asia,23863,Sara Parrish,PURA100,Retail,184,24/08/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
144,Belgium,Europe,23868,Azalia Riddle,SUPA102,Online,141,24/08/2017,SUPA102,Super Soft - 250ml,2.5,4.5
145,Unknown,Unknown,24141,Stephen Herring,PURA250,Direct,203,24/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
146,Unknown,Unknown,24129,Cairo Boyer,PURA200,Retail,197,25/08/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
147,Unknown,Unknown,23971,Paki Richmond,PURA250,Retail,114,26/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
148,Samoa ,Australia and Oceania,24200,Frances Hammond,PURA250,Direct,148,28/08/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
149,Saint Lucia,Central America and the C,23784,Pascale Sanchez,PURA500,Online,86,31/08/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
150,Trinidad and Tobago,Central America and the C,23693,Yvonne Shepard,PURA100,Retail,132,01/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
151,Slovakia,Europe,23980,Armando Huber,SUPA101,Online,52,01/09/2017,SUPA101,Super Soft - Product Sample,0.3,0
152,Unknown,Unknown,24157,Gloria Talley,PURA250,Direct,132,01/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
153,Unknown,Unknown,23682,Yuri Rice,PURA100,Retail,200,02/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
154,Benin,Sub-Saharan Africa,23766,Lani Fox,SUPA101,Online,75,02/09/2017,SUPA101,Super Soft - Product Sample,0.3,0
155,Poland,Europe,23945,Audrey Wiggins,PURA500,Direct,183,03/09/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
156,Qatar,Middle East and North Afr,23909,Cassady Scott,SUPA103,Online,66,04/09/2017,SUPA103,Super Soft - 500ml,3.5,6.99
157,Unknown,Unknown,23791,Aileen Hunter,SUPA103,Retail,33,05/09/2017,SUPA103,Super Soft - 500ml,3.5,6.99
158,Greece,Europe,24245,Shoshana Wilkinson,SUPA102,Retail,138,07/09/2017,SUPA102,Super Soft - 250ml,2.5,4.5
159,Canada,North America,24018,Willa Strong,SUPA103,Retail,37,08/09/2017,SUPA103,Super Soft - 500ml,3.5,6.99
160,Honduras,Central America and the C,24110,Nicole Mcgowan,SUPA102,Online,39,08/09/2017,SUPA102,Super Soft - 250ml,2.5,4.5
161,Unknown,Unknown,24026,Sandra Odonnell,PURA100,Online,210,09/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
162,Tajikistan,Asia,24196,Joelle Johns,SUPA104,Online,13,09/09/2017,SUPA104,Super Soft - 1 Litre,5,9.99
163,Unknown,Unknown,23671,Hadassah Hodge,SUPA104,Retail,99,10/09/2017,SUPA104,Super Soft - 1 Litre,5,9.99
164,Burundi,Sub-Saharan Africa,24060,Kibo Gibbs,PURA100,Retail,14,12/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
165,Unknown,Unknown,23761,Velma Sanford,PURA250,Online,198,15/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
166,Gabon,Sub-Saharan Africa,23866,Tatyana Ingram,PURA200,Online,69,15/09/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
167,Unknown,Unknown,24158,Risa Decker,PURA500,Online,38,18/09/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
168,Unknown,Unknown,23709,Ina Chang,SUPA105,Online,164,19/09/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
169,Unknown,Unknown,23919,Desiree Booth,PURA100,Retail,120,19/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
170,New Zealand,Australia and Oceania,23697,Joelle Kidd,PURA250,Retail,84,20/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
171,New Zealand,Australia and Oceania,23749,Britanni Brown,PURA250,Direct,139,20/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
172,Kuwait,Middle East and North Afr,23912,Chaney Myers,SUPA104,Online,39,22/09/2017,SUPA104,Super Soft - 1 Litre,5,9.99
173,Poland,Europe,24205,Priscilla Quinn,PURA250,Direct,198,24/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
174,Trinidad and Tobago,Central America and the C,23699,Graham Paul,SUPA102,Online,183,25/09/2017,SUPA102,Super Soft - 250ml,2.5,4.5
175,Slovenia,Europe,23677,Destiny Fisher,SUPA105,Retail,22,27/09/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
176,Unknown,Unknown,23986,Darrel Harrell,PURA100,Online,61,29/09/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
177,Botswana,Sub-Saharan Africa,24090,Macaulay Meadows,PURA250,Retail,42,30/09/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
178,Trinidad and Tobago,Central America and the C,24213,Lance Durham,SUPA104,Online,155,02/10/2017,SUPA104,Super Soft - 1 Litre,5,9.99
179,Armenia,Europe,23890,Astra Terry,PURA500,Retail,184,03/10/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
180,Solomon Islands,Australia and Oceania,23934,Knox Fox,PURA100,Online,166,03/10/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
181,Mongolia,Asia,24024,Olga Young,PURA200,Online,208,03/10/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
182,Unknown,Unknown,24040,Sonya Leon,SUPA103,Retail,155,03/10/2017,SUPA103,Super Soft - 500ml,3.5,6.99
183,Unknown,Unknown,23810,Josephine Oliver,SUPA105,Online,171,04/10/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
184,Iceland,Europe,24008,Devin Shepard,PURA250,Online,139,04/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
185,Singapore,Asia,24071,Aimee Sparks,SUPA105,Direct,38,06/10/2017,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
186,Swaziland,Sub-Saharan Africa,23787,Selma Coffey,PURA500,Online,29,07/10/2017,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
187,Greece,Europe,24216,Hollee Briggs,PURA200,Retail,11,07/10/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
188,Belgium,Europe,24241,Otto Golden,PURA250,Retail,36,07/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
189,Unknown,Unknown,23854,Hector Mcfadden,PURA100,Retail,189,10/10/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
190,Cambodia,Asia,24066,Simon Keith,SUPA103,Retail,34,10/10/2017,SUPA103,Super Soft - 500ml,3.5,6.99
191,Trinidad and Tobago,Central America and the C,23552,Bruno Miles,PURA250,Online,162,14/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
192,Maldives,Asia,23857,Shelby Hendrix,PURA100,Online,45,15/10/2017,PURA100,Pure Soft Detergent - 100ml,1.5,3
193,Tuvalu,Australia and Oceania,23838,Karina Riddle,SUPA102,Retail,133,16/10/2017,SUPA102,Super Soft - 250ml,2.5,4.5
194,Equatorial Guinea,Sub-Saharan Africa,24002,Ciara Burks,PURA200,Online,22,16/10/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
195,Unknown,Unknown,24188,Oliver Wolf,PURA200,Retail,185,17/10/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
196,Macedonia,Europe,23598,Brock Howell,SUPA103,Online,190,19/10/2017,SUPA103,Super Soft - 500ml,3.5,6.99
197,Romania,Europe,24064,Bruce Summers,SUPA101,Retail,38,20/10/2017,SUPA101,Super Soft - Product Sample,0.3,0
198,Botswana,Sub-Saharan Africa,24067,Quamar Albert,PURA200,Online,4,23/10/2017,PURA200,Pure Soft Detergent - 200ml,2,3.99
199,Unknown,Unknown,24109,Elliott Lawrence,PURA250,Retail,182,24/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
200,Bosnia and Herzegovina,Europe,24096,Mira Bolton,SUPA103,Retail,54,25/10/2017,SUPA103,Super Soft - 500ml,3.5,6.99
201,Bosnia and Herzegovina,Europe,23657,Aimee James,PURA250,Retail,196,26/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
202,Saint Lucia,Central America and the C,23707,Georgia Ford,SUPA102,Direct,202,26/10/2017,SUPA102,Super Soft - 250ml,2.5,4.5
203,Unknown,Unknown,24140,Basil Foley,PURA250,Online,58,26/10/2017,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
204,Armenia,Europe,24077,Samson Bishop,SUPA104,Retail,61,28/10/2017,SUPA104,Super Soft - 1 Litre,5,9.99
205,Unknown,Unknown,24258,Kuame Wallace,SUPA103,Retail,80,28/10/2017,SUPA103,Super Soft - 500ml,3.5,6.99
206,Azerbaijan,Middle East and North Afr,24250,Maia Schmidt,SUPA102,Direct,11,29/10/2017,SUPA102,Super Soft - 250ml,2.5,4.5
207,Unknown,Unknown,23505,Tarik Barber,SUPA104,Online,189,30/10/2017,SUPA104,Super Soft - 1 Litre,5,9.99
